job_title,salary,company_size,company_type,company_industry,company_sector,company_revenue,company_name,company_rating,state,python,SQL,excel,tableau,power_bi,math,machine_learning,statistics,presentation,reporting,company_age,senior
Technical Business Data Analyst,95000.0,,Company - Public,,,,Collaborate Recruitment Pty Ltd,,NSW,0,1,1,0,1,0,0,0,0,1,,0
Data Analyst - Chatbot,86603.0,1-50,Company - Private,HR Consulting,Human Resources & Staffing,,Charterhouse,4.4,NSW,1,1,0,0,0,0,0,0,0,0,20.0,0
Junior Data Analyst / Application Support,75000.0,51-200,Company - Private,Information Technology Support Services,Information Technology,,Secure Agility,4.1,NSW,0,0,1,0,0,0,0,0,0,1,21.0,0
"Finance Analyst, Group Performance Reporting",119583.0,>10000,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),IAG New Zealand,3.8,NSW,0,0,1,0,0,0,0,0,0,1,,0
Data Analyst/Engineer,137500.0,1-50,Company - Private,Enterprise Software & Network Solutions,Information Technology,,Slyp,3.9,NSW,1,1,0,0,0,1,1,1,0,1,7.0,0
Chapter Lead CDAO Data Analytics Group,100995.0,>10000,Company - Public,Banking & Lending,Finance,$5 to $10 billion (USD),Commonwealth Bank,3.9,NSW,0,1,1,1,0,0,0,0,0,0,112.0,0
Senior Data Analyst,123361.0,501-1000,Government,National Services & Agencies,Government & Public Administration,,NSW Government -Customer Strategy & Technology,4.1,NSW,1,1,0,0,0,0,1,0,0,1,,1
Financial Data Analyst,109545.0,51-200,,,,,TMGM,3.2,NSW,1,0,1,0,0,0,0,1,0,0,,0
Data Business Analyst,97980.0,51-200,Company - Private,HR Consulting,Human Resources & Staffing,$500 million to $1 billion (USD),Peoplebank,4.0,NSW,0,1,1,0,0,0,0,0,0,0,33.0,0
Data Analyst Software Engineer,111694.0,501-1000,Government,National Services & Agencies,Government & Public Administration,,NSW Government -Natural Resources Access Regulator,4.1,NSW,1,1,0,0,0,0,0,1,0,1,,0
Insights Analyst,89443.0,51-200,Company - Private,Research & Development,Management & Consulting,,Lonsec,,NSW,0,0,1,0,0,0,0,0,1,0,28.0,0
Product Owner/Senior Data Analyst,87795.0,501-1000,Government,Banking & Lending,Finance,$10+ billion (USD),Reserve Bank of Australia,3.5,NSW,0,1,1,0,0,0,0,1,0,1,,1
Premium Analyst,89512.0,1001-5000,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),RGA,4.1,NSW,0,1,1,0,0,1,0,0,0,1,50.0,0
Finance Analyst - Inventory / Inventory Controller,83910.0,501-1000,Company - Private,Home Furniture & Housewares Stores,Retail & Wholesale,,King Living,3.5,NSW,0,1,1,0,0,0,0,0,0,1,46.0,0
Business Analyst,107331.0,,Company - Private,,,,INGRITY,,NSW,0,1,1,0,0,0,0,0,1,1,,0
Business Analyst Underwriting Operations,98742.0,,Company - Private,Insurance Agencies & Brokerages,Insurance,,Guild Group,,NSW,0,0,0,0,0,0,0,0,0,1,62.0,0
Business Analyst,119756.0,1001-5000,Company - Private,Law Firms,Legal,$500 million to $1 billion (USD),Fragomen,3.4,NSW,0,0,1,1,1,0,0,0,0,0,72.0,0
Senior Data Insights Analyst,101464.0,1-50,Contract,,,,Mable,4.5,NSW,1,1,1,1,0,0,1,1,0,0,,1
HR Data and Compliance Consultant/Analyst - HR Compliance and Governance - Sydney,134778.0,>10000,Company - Private,Internet & Web Services,Information Technology,,ByteDance,3.8,NSW,0,0,1,0,0,0,0,1,0,1,11.0,0
Senior Insights Analyst,83457.0,501-1000,Company - Public,Advertising & Public Relations,Media & Communication,$25 to $50 million (USD),Ebiquity,3.5,NSW,0,0,1,1,0,0,0,0,0,1,,1
Media Insights Analyst,77136.0,,Company - Public,,,,Cartology,4.0,NSW,0,1,0,1,0,0,0,0,1,1,,0
Business Analyst,108167.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),Macquarie Group Limited,4.0,NSW,0,0,1,0,0,0,0,0,0,1,54.0,0
Master Data Analyst,113456.0,>10000,Subsidiary or Business Segment,Grocery Stores,Retail & Wholesale,,Coles Group,3.6,NSW,0,0,0,0,0,0,0,0,0,1,109.0,0
Data Governance Analyst,118585.0,1-50,Company - Private,HR Consulting,Human Resources & Staffing,,M&T Resources,3.6,NSW,0,1,1,0,0,0,0,0,0,0,29.0,0
BI Reporting Developer,115152.0,51-200,Company - Private,,,,The Law Society of New South Wales,3.1,NSW,0,1,0,0,1,1,0,1,0,1,,0
Energy Systems and Data Analyst,134611.0,>10000,Company - Public,Metal & Mineral Manufacturing,Manufacturing,,BlueScope,3.8,NSW,0,0,0,0,0,0,0,0,0,1,138.0,0
Risk Support Analyst,91324.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $25 million (USD),ING,4.1,NSW,0,0,0,0,0,0,0,0,0,0,123.0,0
Reporting Analyst,111425.0,1001-5000,Company - Private,Business Consulting,Management & Consulting,,IRI Worldwide (Australia),3.6,NSW,0,0,1,0,0,0,0,0,0,1,44.0,0
Regulatory Operations Analyst,76605.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),Macquarie Group Limited,4.0,NSW,0,0,1,0,0,0,0,0,0,1,54.0,0
Pricing Analyst Team Leader,95917.0,5001-10000,Subsidiary or Business Segment,"Department, Clothing & Shoe Stores",Retail & Wholesale,,'COS,3.3,NSW,0,0,1,0,0,0,0,0,0,1,16.0,0
Rewards Analyst - 12 month fixed-term,119896.0,1001-5000,Company - Private,Software Development,Information Technology,,Canva,4.3,NSW,0,0,1,0,0,0,0,0,0,0,,0
Business Analyst,116833.0,1001-5000,Non-profit Organisation,"Civic, Welfare & Social Services",Non-profit & NGO,$100 to $500 million (USD),People,,NSW,0,0,1,1,0,0,0,0,1,0,,0
Financial Analyst,84971.0,501-1000,Company - Private,,,,SRG Limited,3.9,NSW,0,0,1,0,0,0,0,1,1,1,,0
ICT Business Analyst,75000.0,,Company - Private,,,,My Guardian - Aged and Disability Care,,NSW,0,0,0,0,0,0,0,0,0,0,,0
Customer Insights Analyst,115000.0,201-500,Company - Public,Internet & Web Services,Information Technology,,hipages,4.2,NSW,0,0,1,1,1,0,0,0,0,0,19.0,0
Data Analytics and Reporting Analyst,96747.0,,Company - Private,,,,SB Recruitment Pty Ltd,5.0,NSW,1,0,0,1,1,1,0,1,0,1,,0
Consultant - Organisation and Methods Analyst,85000.0,,,,,,Amplify Procurement,,NSW,0,0,1,0,0,0,0,0,0,0,,0
Marketing Data Analyst,104022.0,1-50,Company - Public,,,,The Leading Edge,,NSW,0,0,0,0,0,0,0,1,1,0,,0
Business Analyst,129023.0,201-500,Company - Public,Real Estate,Real Estate,,Dexus,3.4,NSW,0,0,0,0,0,0,0,0,0,0,39.0,0
"Analyst, Structured Finance Ratings, Sydney",81320.0,1001-5000,Subsidiary or Business Segment,Research & Development,Management & Consulting,$100 to $500 million (USD),Fitch Ratings,4.0,NSW,0,0,1,0,0,0,0,0,0,1,110.0,0
Commercial Finance Analyst,99481.0,501-1000,Company - Private,Catering & Food Service Contractors,Restaurants & Food Service,$25 to $50 million (USD),Trippas White Group,2.9,NSW,0,0,1,0,1,0,0,0,1,1,,0
Business Analyst,127703.0,1001-5000,Government,National Services & Agencies,Government & Public Administration,,Health System Support Group,3.6,NSW,0,1,1,0,0,0,0,0,0,0,,0
BUSINESS INTELLIGENCE ANALYST,15900.0,>10000,College / University,,,,Sydney Catholic Schools,3.5,NSW,1,1,1,1,0,0,0,1,0,1,,0
Senior Analyst - Insights Analytics,94868.0,>10000,Company - Public,Banking & Lending,Finance,$5 to $10 billion (USD),Commonwealth Bank,3.9,NSW,1,1,1,1,0,0,0,0,0,0,112.0,1
